# Magic Lantern Simplified Chinese translation.
# Exact display string|translation
About Magic Lantern|关于 Magic Lantern
Could not load help page %s.|无法加载帮助页面 %s。
DNG save error (card full?)|DNG 保存错误（存储卡已满？）
DOF Far:    %s|景深远端：%s
DOF Near:   %s|景深近端：%s
DONE|完成
Data corruption at slot %d, frame %d, err %d |数据损坏：槽位 %d，帧 %d，错误 %d 
Display preset: %d|显示预设：%d
Done, press shutter half-way to exit.|完成，半按快门退出。
Early stop (%d). Should have recorded a few more frames.|提前停止（%d），本应再录制几帧。
Enjoy!|祝你使用愉快！
Error viewing %s|查看 %s 时出错
Error: GUID within the file chunks mismatch!|错误：文件块中的 GUID 不一致！
Failed to allocate BVRAM mirror|无法分配 BVRAM 镜像
File #%d ends prematurely, %d bytes read|文件 #%d 意外结束，已读取 %d 字节
File create error|创建文件失败
File ends prematurely during LENS|文件在 LENS 块中意外结束
File ends prematurely during MLVI|文件在 MLVI 块中意外结束
File ends prematurely during RAWI|文件在 RAWI 块中意外结束
File ends prematurely during RTCI|文件在 RTCI 块中意外结束
File ends prematurely during VIDF|文件在 VIDF 块中意外结束
File ends prematurely during VIDF raw data|文件在 VIDF RAW 数据中意外结束
File ends prematurely during WAVI|文件在 WAVI 块中意外结束
File ends prematurely during block header|文件在块头中意外结束
File position mismatch. Read %d|文件位置不匹配，读取位置 %d
File write error (card full?)|文件写入错误（存储卡已满？）
Flushing buffers... %d frames left  |正在清空缓冲区…剩余 %d 帧  
Focus dist: %s|对焦距离：%s
Focus: %d%% |对焦：%d%% 
Focusing...|正在对焦…
Footer format mismatch|文件尾格式不匹配
Frame incomplete at slot %d, frame %d |帧不完整：槽位 %d，帧 %d 
Frame order error: slot %d, frame %d, expected %d |帧顺序错误：槽位 %d，帧 %d，预期 %d 
Half-shutter pressed...|已半按快门…
Half-shutter...|请半按快门…
Hold on...|请稍候…
Hyperfocal: %s|超焦距：%s
Index error:|索引错误：
Information:|信息：
Input|输入
Invalid MLV:|无效的 MLV：
Invalid RAW:|无效的 RAW：
Invalid header size: %d bytes at 0x%08X|无效的文件头大小：%d 字节，位置 0x%08X
LOAD ERROR %d:%s   |加载错误 %d：%s   
Last update: %s|最后更新：%s
Lens: %s, %dmm f/%d.%d|镜头：%s，%dmm f/%d.%d
Lens: manual (without chip).|镜头：手动镜头（无芯片）。
Locking|正在锁定
Long half-shutter will take another picture.|持续半按快门将再拍一张照片。
Lossless compression error: %d|无损压缩错误：%d
Magic Lantern|Magic Lantern
Memory error|内存错误
More info after you load this module.|加载此模块后可查看更多信息。
Motion level: %d   |运动级别：%d   
Movie recording stopped automagically         |视频录制已自动停止         
Not a CHDK DNG|不是 CHDK DNG 文件
Nothing saved, card full maybe.|没有保存任何内容，存储卡可能已满。
Out of memory|内存不足
Over :%3d.%02d%%\nUnder:%3d.%02d%%|过曝：%3d.%02d%%\n欠曝：%3d.%02d%%
Overlay error.   |叠加层错误。   
Overlay saved.   |叠加层已保存。   
Please record a movie first.|请先录制一段视频。
Please report all bugs at www.magiclantern.fm.|请在 www.magiclantern.fm 报告问题。
Preparing...|正在准备…
Preparing:|正在准备：
PushWB|快捷白平衡
Queue overflow|队列溢出
Raw error|RAW 错误
Raw error, falling back to YUV overlays|RAW 错误，改用 YUV 叠加层
Remaining: %d|剩余：%d
Reset|重置
SD monitors NOT fully supported!\nRGB tools and MZoom won't work. |尚未完整支持标清显示器！\nRGB 工具和魔术变焦无法工作。 
STBY|待机
Saved %d x %d (%d ms, %d MiB/s).   |已保存 %d x %d（%d 毫秒，%d MiB/s）。   
Saving %d x %d...|正在保存 %d x %d…
Saving canceled.|已取消保存。
Saving image %d of %d (%dx%d)...|正在保存第 %d/%d 张图像（%dx%d）…
Saving overlay...|正在保存叠加层…
Scrollwheel: %s|拨盘：%s
Skipped %d frames|跳过 %d 帧
Slit-scan: %d%%...|狭缝扫描：%d%%…
Slot %d: frame %d not saved |槽位 %d：帧 %d 未保存 
Slot check error|槽位检查错误
Thanks!|谢谢！
Then, write a short paragraph to describe it,|然后写一小段文字说明它，
This feature is probably not yet documented.|此功能可能尚未编写文档。
This is a development snapshot for testing purposes.|这是用于测试的开发快照。
Too many fonts|字体数量过多
Too many prop handlers|属性处理器数量过多
Waiting for IS...|正在等待图像防抖…
Warning: output truncated (%s)|警告：输出已截断（%s）
Writing ROM0|正在写入 ROM0
Writing ROM1|正在写入 ROM1
YUV buffer was not initialized.\nPlease take a picture or go to LiveView.|YUV 缓冲区尚未初始化。\n请拍摄一张照片或进入实时取景。
allocation failed|内存分配失败
and we will include it in the user guide.|我们会将它加入用户指南。
buffer empty|缓冲区为空
failed to alloc mlv_play_decomp_buf|无法分配 mlv_play 解压缓冲区
failed to load chunks|无法加载文件块
reading failed|读取失败
reading failed again|再次读取失败
Magic Lantern version: %s\nGit commit: %s\nBuilt on %s by %s.|Magic Lantern 版本：%s\nGit 提交：%s\n构建日期：%s，构建者：%s。
# Development and module information strings
Allocate 10MB of RAM|分配 10MB 内存
AllocateMemory 1MB|用 AllocateMemory 分配 1MB
Buffer R/W benchmark (5 min)|缓冲区读写测试（5 分钟）
Buffer write benchmark (inf)|缓冲区写入测试（无限）
CF+SD write benchmark (1 min)|CF＋SD 写入测试（1 分钟）
Cache benchmark (RAM)|缓存测试（RAM）
Cache benchmark (RAM, no cache)|缓存测试（RAM，不使用缓存）
Cache benchmark (ROM)|缓存测试（ROM）
Card Benchmarks|存储卡性能测试
Create a stuck task|创建卡死任务
Decimal -10..10|十进制 -10..10
Decimal -5..5|十进制 -5..5
Decimal -50..500|十进制 -50..500
Decimal -9..9|十进制 -9..9
Decimal 0..10|十进制 0..10
Decimal 0..100|十进制 0..100
Decimal 0..15|十进制 0..15
Decimal 0..5|十进制 0..5
Decimal 0..99|十进制 0..99
Decimal 1..10000000|十进制 1..10000000
Decimal 10..20|十进制 10..20
Decimal 25..150|十进制 25..150
Division by zero|除以零
EDMAC display|EDMAC 显示测试
EDMAC model test|EDMAC 模型测试
EDMAC screen test (infinite)|EDMAC 屏幕测试（无限）
EDMAC tools|EDMAC 工具
Fault emulation|故障模拟
Find free EDMAC channels|查找空闲 EDMAC 通道
Focus peaking benchmark (30s)|峰值对焦性能测试（30 秒）
Freeze the GUI task|冻结界面任务
Hex 0..1FF|十六进制 0..1FF
Hex 0..3FF|十六进制 0..3FF
Hex 0..7|十六进制 0..7
Hex 0..F|十六进制 0..F
Hex 0..FF|十六进制 0..FF
Hex 0..FFFFFFFF|十六进制 0..FFFFFFFF
Hex 100..3FF|十六进制 100..3FF
Info screen test (infinite)|信息屏幕测试（无限）
Lock-up the ARM CPU|锁死 ARM CPU
Log EDMAC activity|记录 EDMAC 活动
Log every|记录间隔
Memcpy benchmark (20s)|内存复制测试（20 秒）
Memory Benchmarks|内存性能测试
Memory benchmark (1 min)|内存性能测试（1 分钟）
Memory leak test (1 minute)|内存泄漏测试（1 分钟）
Menu backend test (infinite)|菜单后端测试（无限）
Menu benchmark (10s)|菜单性能测试（10 秒）
Menu edit tests|菜单编辑测试
Misc Benchmarks|其他性能测试
Null pointer test (quick)|空指针测试（快速）
Quick R/W benchmark (1 min)|快速读写测试（1 分钟）
Quick test (around 15 min)|快速测试（约 15 分钟）
RPC reliability test (infinite)|RPC 可靠性测试（无限）
Random tests (infinite loop)|随机测试（无限循环）
Rectangle test (infinite)|矩形测试（无限）
Redraw test (infinite)|重绘测试（无限）
SRM memory test (5 minutes)|SRM 内存测试（5 分钟）
Self tests|自检
Show EDMAC channels|显示 EDMAC 通道
Small-block malloc test (quick)|小内存块分配测试（快速）
Start logging|开始记录
Stubs API test|桩 API 测试
Thread safety test|线程安全测试
Time 0..10s|时间 0..10 秒
Time 0..1h|时间 0..1 小时
Time 0..1m|时间 0..1 分钟
Time 0..24h|时间 0..24 小时
Time 0..500ms|时间 0..500 毫秒
Time 113..512|时间 113..512
A quick test which covers basic functionality. |覆盖基本功能的快速测试。 
A thorough test which randomly enables functions from menu. |从菜单随机启用功能的全面测试。 
Allocate and free a large block of RAM (16 MB); repeat 1000 times.|分配并释放 16MB 大内存块，重复 1000 次。
Allocate up to 50000 small blocks, 32K each, until memory gets full.|分配最多 50000 个 32KB 小块，直至内存用尽。
Allocates 1MB RAM from any source, without freeing it.|从任意来源分配 1MB 内存且不释放。
Allocates 1MB RAM using AllocateMemory, without freeing it.|用 AllocateMemory 分配 1MB 内存且不释放。
Benchmarks for focus peaking and menu backend (for now)|峰值对焦和菜单后端性能测试。
CF or SD card benchmarks|CF 或 SD 存储卡性能测试
Causes excessive redraws for testing the graphics backend|产生大量重绘以测试图形后端
Causes intentionally wrong behavior to see DryOS reaction.|故意执行错误行为以观察 DryOS 的反应。
Check card read/write speed with a 16MB buffer. Uses a 1GB temp file.|使用 16MB 缓冲区测试存储卡读写速度，会创建 1GB 临时文件。
Check how fast is your camera. Card, CPU, graphics...|测试相机的存储卡、CPU 和图形性能。
Check how fast peaking runs in PLAY mode (1000 iterations).|测试峰值对焦在回放模式的速度（1000 次）。
Check memcpy speed using different subsystems.|测试不同子系统的内存复制速度。
Check memory read/write speed using different methods.|使用不同方法测试内存读写速度。
Check speed of menu backend.|测试菜单后端速度。
Checks various buffer sizes. You don't need it for raw video benchmarks,|测试多种缓冲区大小；普通 RAW 视频测试不需要此项，
Creates a task which will become stuck in an infinite loop.|创建一个会卡在无限循环中的任务。
Creates a task which will clear the interrupts and execute while(1).|创建清除中断并执行无限循环的任务。
Detect RAM cache size by benchmarking (look for a sharp speed drop).|通过性能测试检测 RAM 缓存大小（寻找速度骤降点）。
Detect ROM cache size by benchmarking (look for a sharp speed drop).|通过性能测试检测 ROM 缓存大小（寻找速度骤降点）。
Dummy variables with various edit ranges.|具有不同编辑范围的测试变量。
Experiment for finding optimal write buffer sizes.|用于寻找最佳写入缓冲区大小的实验。
Flood master with RPC requests and print delay. |用大量 RPC 请求冲击主处理器并显示延迟。 
Freezes main GUI task. Camera will stop reacting to buttons.|冻结主界面任务，相机将不再响应按钮。
Memory or cache benchmarks|内存或缓存性能测试
Performs some math operations which will divide by zero.|执行会产生除以零的数学运算。
Sample EDMAC activity on all channels and save a log file.|采样所有通道的 EDMAC 活动并保存日志。
Sampling interval (how often EDMAC channels are polled).|采样间隔（轮询 EDMAC 通道的频率）。
Shift the entire display left and right with EDMAC routines.|使用 EDMAC 程序左右移动整个显示画面。
Start logging EDMAC activity.|开始记录 EDMAC 活动。
Stresses graphics bandwith. Run this while recording.|对图形带宽进行压力测试，请在录像时运行。
Switches INFO screens very quickly.|快速切换 INFO 屏幕。
Tests Canon functions called by ML. SET=once, PLAY=100x.|测试 ML 调用的佳能函数。SET=一次，回放键=100 次。
Tests SRM memory allocation routines.|测试 SRM 内存分配程序。
Tests proper usage of Canon API calls in ML menu backend.|测试 ML 菜单后端是否正确调用佳能 API。
Tests to confirm our hypothesis on how EDMAC works.|用于验证 EDMAC 工作原理假设的测试。
Tests to make sure Magic Lantern is stable and won't crash.|测试 Magic Lantern 的稳定性和抗崩溃能力。
Tests various functions for thread safety. WIP.|测试多种函数的线程安全性，尚未完成。
This checks if the speed drop is indeed caused by cache overflow.|检查速度下降是否确由缓存溢出引起。
Useful for finding image buffers.|用于查找图像缓冲区。
Useful to find which channels can be used in LiveView.\n|用于查找实时取景中可使用的通道。\n
Write speed on both CF and SD cards at the same time.|同时测试 CF 和 SD 卡写入速度。
Writes 0xBAADBAAD to address 0 (simulating a null pointer error).|向地址 0 写入 0xBAADBAAD（模拟空指针错误）。
(cacheable, uncacheable, EDMAC, different data types...)|（可缓存、不可缓存、EDMAC、不同数据类型等）
(memcpy, dma_memcpy, DMA unit, EDMAC unit)|（memcpy、dma_memcpy、DMA 单元、EDMAC 单元）
After running this a few times, you'll get ERR70.|运行数次后会出现 ERR70。
After running this a few times, you'll run out of memory.|运行数次后内存会耗尽。
Anything still running after that would be secondary CPUs or hardware.|此后仍在运行的内容只可能是辅助 CPU 或硬件。
Fixme: this will lock up if you change the video mode during the test.|注意：测试期间更改视频模式会导致相机锁死。
For raw video, you want to run it either in movie mode or in PLAY mode.|测试 RAW 视频时，请在视频模式或回放模式中运行。
Low priority tasks (prio >= 0x1A) will no longer be able to run.|低优先级任务（优先级 >= 0x1A）将无法继续运行。
ML should save a crash log about 0xBAADBAAD and should not crash.|ML 应保存关于 0xBAADBAAD 的崩溃日志，且自身不应崩溃。
Press shutter halfway to choose the exact moment.|半按快门选择准确时刻。
Results saved in BENCH.LOG.|结果已保存到 BENCH.LOG。
Should be executed on both camera and QEMU.|应分别在相机和 QEMU 中执行。
The logging buffer size is fixed at 2048 samples.|日志缓冲区固定为 2048 个样本。
This used to crash the 500D if the test was run while recording.|在录像时运行此测试曾会导致 500D 崩溃。
Tip: load the 'plot' module to get a nice graph.|提示：加载 plot 模块可显示图表。
Useful for figuring out how image capture/processing works.|用于研究图像捕获和处理的工作方式。
You should have a valid image on the card.|存储卡上应有一张有效图像。
You'll have to take the battery out after running most of these.|运行其中多数测试后需要取出电池才能恢复。
but if you want to optimize the video buffering algorithms, try it.|但如需优化视频缓冲算法，可以尝试此项。
so all your pics look equally exposed, without flicker.|使所有照片曝光一致且无闪烁。

# Module information pages
Author|作者
Authors|作者
License|许可证
Credits|致谢
Summary|摘要
Description|说明
Forum|论坛
Website|网站
Build date|构建日期
Build user|构建用户
Help page 1|帮助第 1 页
Help page 2|帮助第 2 页
Help page 3|帮助第 3 页
Help page 4|帮助第 4 页
Help page 5|帮助第 5 页
Advanced Intervalometer|高级间隔拍摄
Advanced ramping and exposure control for the intervalometer|间隔拍摄的高级渐变与曝光控制
Auto exposure algorithm|自动曝光算法
Benchmarks (speed tests)|性能测试（速度测试）
Post deflicker sidecar files|后期去闪烁辅助文件
Dynamic range improvement by using two ISOs in one picture|在同一画面使用两档 ISO 提升动态范围
Expose To The Right|向右曝光
Expose To The Right - auto exposure that minimizes noise|向右曝光——尽量降低噪点的自动曝光
File manager (browse the files on the card)|文件管理器（浏览存储卡文件）
Image name preferences|图像文件名设置
Customize Canon's image file naming (IMG_1234.CR2 -> ABCD1234.CR2)|自定义佳能图像文件命名（IMG_1234.CR2 -> ABCD1234.CR2）
Raw video v1.1 (MLV Lite)|RAW 视频 v1.1（MLV Lite）
Records 14-bit RAW video|录制 14 位 RAW 视频
Play MLV/RAW|播放 MLV/RAW
MLV Sound Support|MLV 声音支持
Adds sound recording functionality to mlv_rec|为 mlv_rec 添加声音录制功能
Self-testing routines|自检程序
Stability tests|稳定性测试
Silent Pictures|静音拍摄
Take pictures in LiveView without shutter actuation|在实时取景中无快门动作拍照
Advanced ramping and exposure control for the intervalometer\n\nCreate keyframes from current camera settings and specify the\nframe at which the keyframe is applied. You will select which\nparameters you would like to set in the keyframe and which you\nwould like to ignore. The module ramps (linearly) the vaules of\nselected parameters from one keyframe to the next while the\nintervalometer is running.\n\n\n|为间隔拍摄提供高级渐变与曝光控制。\n\n从当前相机设置创建关键帧，并指定应用帧号。\n可选择关键帧中需设置或忽略的参数。\n间隔拍摄时，模块会在相邻关键帧间线性渐变。\n\n
A stripped-down version of the old 1980s brick breaker-style\ngame "Arkanoid". Use LEFT and RIGHT keys (or joystick) to play.\n\nArkanoid is an old arcade game developed in 1986 in the spirit of\nAtari's Breakout game from the 1970s. The game is pretty\nstraight forward: you have a paddle (it's actually your ship) and\nyou have to keep a ball from falling off the screen by bouncing it\nup and destroying the blocks in your way (from PetaPixel).\n\nTip: with an actor in the scene on hard difficulty (for example\nwhilst playing during a paid shoot) the game becomes much\nmore challenging but no less enjoyable (from EOSHD).\n\n|经典打砖块游戏“Arkanoid”的精简版。使用左右键（或摇杆）操作。\n\n用挡板反弹小球，防止小球掉出屏幕，并击碎上方的砖块。\n\n提示：高难度模式更具挑战性。\n
Automatic exposure algorithm based on predefined curves. It's\nlike a real 'P' where you actually program what you want the\ncamera to do depending on the light.\nhttp://www.magiclantern.fm/forum/?topic=7208\n\n|基于预设曲线的自动曝光算法。它类似可编程的 P 挡，可按现场光线决定相机的曝光行为。\nhttp://www.magiclantern.fm/forum/?topic=7208\n
Benchmarks (speed tests):\n\n *  card benchmarks\n *  memory benchmarks\n *  various feature benchmarks\n\nIn particular, the quick card benchmark is useful for diagnosing\nspeed issues when recording RAW video.\n\n|性能测试（速度测试）：\n\n *  存储卡性能\n *  内存性能\n *  各项功能性能\n\n快速存储卡测试尤其适合诊断 RAW 视频录制时的速度问题。\n
Generate sidecar (XMP/UFRaw) files for post deflicking.\n\n|生成用于后期去闪烁的辅助文件（XMP/UFRaw）。\n
Increases dynamic range by sampling the sensor at two different\nISOs, switching ISO for every other line pair. This trick cleans up\nshadow noise, resulting in a dynamic range improvement of\naround 3 stops, at the cost of reduced vertical resolution,\naliasing and moire.\n\nWorks for both raw photos (CR2) and raw videos (DNG). You need\nto postprocess these files with a tool called **cr2hdr**.\n\nAfter postprocessing, you will get a DNG that looks like a dark ISO\n100 shot, but you can bring the exposure back up and be\ndelighted by how little noise is present in those recovered\nshadows.\n\n\n|传感器交替使用两档 ISO 采样，降低暗部噪点，\n提升约 3 挡动态范围。代价是垂直分辨率降低，\n并可能出现锯齿和摩尔纹。\n\n适用于 RAW 照片（CR2）和 RAW 视频（DNG），\n拍摄后需使用 cr2hdr 处理。\n\n处理后可大幅提亮暗部，同时保持较低噪点。\n
ETTR is a techinque that optimizes your exposure for raw\nshooting, with the goal of minimizing noise without blowing the\nhighlights.\n\nAuto ETTR will adjust the exposure for you until the histogram will\ntouch the right side, but - whenever possible - without clipping.\nThis will minimize image noise for your given set of restrictions\n(e.g. slowest shutter, max ISO, or what highlights can be clipped).\n\nYou will usually have to darken the image in post (which is good).\n\nTip: on the raw histogram you will see an ETTR hint that can be\nused for manually exposing the image.\n\n|ETTR 优化 RAW 拍摄曝光，在不过曝高光的前提下\n尽量降低噪点。\n\n自动 ETTR 会使直方图尽量靠右且避免剪切，\n并遵守最慢快门、最高 ISO 等限制。\n\n通常需要在后期压暗图像。\nRAW 直方图上的 ETTR 提示也可用于手动曝光。\n
Browse the card filesystem from ML menu.\n\nFeatures:\n\n *  Display file name, size and date\n *  Select files (individual or by extension)\n *  Copy and move files\n *  Delete files\n *  View files (text viewer built-in, other file types via custom\n    handlers)\n\n|从 ML 菜单浏览存储卡文件系统。\n\n功能：\n\n *  显示文件名、大小和日期\n *  单独或按扩展名选择文件\n *  复制和移动文件\n *  删除文件\n *  查看文件（内置文本查看器，其他格式使用相应处理模块）\n
This module lets you customize image file names:\n\n *  custom file prefix (IMG_1234.CR2 -> ABCD1234.CR2)\n *  change file number (IMG_1234.CR2 -> IMG_5678.CR2; requires\n    restart)\n *  change folder number (DCIM/100CANON -> 123CANON)\n\nYou will find the new options under the Shoot menu.\n\n|此模块可自定义图像文件名：\n\n *  自定义文件前缀\n *  更改文件编号（需要重启）\n *  更改文件夹编号\n\n新选项位于“拍摄”菜单。\n
Module for running Lua scripts on the camera.\n\nThe scripting engine looks for scripts (*.LUA) in ML/SCRIPTS. Any\nscripts found get "loaded" at startup by the scripting engine\nsimply running them. Therefore the main body of the script\nshould simply _define_ the script's menu and behavior, not\nactually _execute_ anything.\n\nThe scripting engine will maintain your script's global state from\nrun to run, so any global variables you declare will persist until\nthe camera is turned off.\n\nAPI documentation: http://davidmilligan.github.io/ml-lua/\n\n|在相机上运行 Lua 脚本。\n\n脚本引擎会查找 ML/SCRIPTS 中的 *.LUA 文件，\n并在启动时运行。脚本主体应定义菜单和行为，\n不应直接执行实际任务。\n\n全局状态会保留到相机关机。\n\nAPI 文档：http://davidmilligan.github.io/ml-lua/\n
Records 14-bit RAW video.\n\nThis is the original RAW recording module updated to MLV file\nformat (credits: dmilligan), but without the extra features from\nmlv_rec. The performance should be identical to the old raw_rec\nv1.0.\n\nYou may want to load mlv_play for reviewing clips.\n\nFor details, please see the "Raw Video" section on the Magic\nLantern forum.\n\n|录制 14 位 RAW 视频。\n\n这是采用 MLV 格式的原始 RAW 录制模块，\n不包含 mlv_rec 的附加功能，\n性能应与旧版 raw_rec v1.0 相同。\n\n可加载 mlv_play 回看片段。\n详情请参阅 Magic Lantern 论坛的“RAW Video”版块。\n
Plays Magic Lantern video files (both MLV and RAW). You can\nselect videos for playback in the file_man module, or you can\npress the PLAY key in LV to play the most recent recording.\n\n *  "all": play every video frame\n *  "exact": drop video frames to match recorded FPS\n\nKeys:\n\n *  SET: use the on-screen menu\n *  PLAY: pause or resume playback\n *  INFO: toggle display of video information\n *  wheel: switch to previous or next video\n\n|播放 Magic Lantern 视频文件（MLV 和 RAW）。\n可在文件管理器中选择，或在实时取景中\n按回放键播放最近的录像。\n\n *  “全部”：播放每一帧\n *  “精确”：丢帧以匹配录制帧率\n\n按键：\n\n *  SET：使用屏幕菜单\n *  回放键：暂停或继续\n *  INFO：切换视频信息\n *  拨盘：切换上一个或下一个视频\n
With this module, mlv_rec is extended by sound recording\nsupport.\n\n|此模块为 mlv_rec 添加声音录制支持。\n
Simple image viewer that integrates with ML file manager\n(file_man.mo).\n\nUsage: browse the file system with the file manager, select an\nimage file and choose View.\n\nSupported file types:\n\n *  PPM (ML screenshots)\n *  DNG (silent pictures, raw video frames)\n *  BMP (bitmap images with DryOS palette, uncompressed or RLE)\n *  BMH (ML help files, same as BMP)\n *  422 (YUV422 images, e.g. dumps from LiveView buffer)\n\n|与 ML 文件管理器集成的图片查看器。\n\n用法：在文件管理器中浏览文件，选择图片并执行“查看”。\n\n支持的格式：PPM、DNG、BMP、BMH 和 422。\n
Testing routines for ML internals:\n\n *  stubs tests\n *  memory tests\n *  various burn-in tests\n\nPlease run these tests every now and then; when they fail,\nplease report a bug.\n\n|ML 内部自检程序：\n\n *  桩测试\n *  内存测试\n *  各类老化测试\n\n请定期运行；如有失败，请报告问题。\n
Take pictures in LiveView without shutter actuations. Format:\n14-bit DNG, low-resolution, depending on LiveView mode (1080p,\n720p, zoom and so on).\n\nYou may want to load pic_view & file_man for reviewing pictures.\n\nModes:\n\n *  Simple: press the shutter halfway to take a picture.\n *  Burst: take pictures until memory gets full, then save to card.\n *  End Trigger: take pics continuously, save last few pics to card.\n *  Best Shots: take pics continuously, save the best (focused) pics.\n *  Slit-Scan: distorted pictures for funky effects.\n\n|在实时取景中无快门动作拍照。格式为低分辨率 14 位 DNG，分辨率取决于实时取景模式。\n\n可加载 pic_view 和 file_man 回看照片。\n\n模式：\n\n *  简单：半按快门拍一张\n *  连拍：拍至内存满后保存\n *  结束触发：连续拍摄并保存最后几张\n *  最佳照片：连续拍摄并保存对焦最佳的照片\n *  狭缝扫描：生成特殊变形效果\n
